location,size,total_sqft,bath,price,bhk,price_sqft
7th Phase JP Nagar,3 BHK,1680,3,120,3,7142.857143
7th Phase JP Nagar,2 BHK,1175,2,82.5,2,7021.276596
7th Phase JP Nagar,2 BHK,1215,2,90,2,7407.407407
7th Phase JP Nagar,2 BHK,1050,2,75,2,7142.857143
7th Phase JP Nagar,3 BHK,1300,3,89.13,3,6856.153846
7th Phase JP Nagar,2 BHK,1130,2,73,2,6460.176991
7th Phase JP Nagar,3 BHK,1450,3,100,3,6896.551724
7th Phase JP Nagar,2 BHK,1050,2,50,2,4761.904762
7th Phase JP Nagar,2 BHK,1275,2,87,2,6823.529412
7th Phase JP Nagar,3 BHK,1650,3,110,3,6666.666667
7th Phase JP Nagar,2 BHK,850,2,42,2,4941.176471
7th Phase JP Nagar,3 BHK,1680,3,117,3,6964.285714
7th Phase JP Nagar,3 BHK,1850,3,150,3,8108.108108
7th Phase JP Nagar,2 BHK,1236,2,61.33,2,4961.97411
7th Phase JP Nagar,2 BHK,1000,2,53,2,5300
7th Phase JP Nagar,3 BHK,1680,3,125,3,7440.47619
7th Phase JP Nagar,3 BHK,1675,2,135,3,8059.701493
7th Phase JP Nagar,2 BHK,1187,2,59,2,4970.513901
7th Phase JP Nagar,3 BHK,1850,3,155,3,8378.378378
7th Phase JP Nagar,2 BHK,1000,2,61,2,6100
7th Phase JP Nagar,3 BHK,1460,2,100,3,6849.315068
7th Phase JP Nagar,3 BHK,1650,3,110,3,6666.666667
7th Phase JP Nagar,2 BHK,1200,2,62.5,2,5208.333333
7th Phase JP Nagar,2 BHK,1000,2,70.65,2,7065
7th Phase JP Nagar,2 BHK,1080,2,75,2,6944.444444
7th Phase JP Nagar,3 BHK,1680,3,125,3,7440.47619
7th Phase JP Nagar,3 BHK,1460,2,97,3,6643.835616
7th Phase JP Nagar,2 BHK,1120,2,65,2,5803.571429
7th Phase JP Nagar,2 BHK,1100,3,60,2,5454.545455
7th Phase JP Nagar,3 BHK,1790,3,120,3,6703.910615
7th Phase JP Nagar,3 BHK,1680,3,117,3,6964.285714
7th Phase JP Nagar,2 BHK,1050,2,77,2,7333.333333
7th Phase JP Nagar,2 BHK,1050,2,75,2,7142.857143
7th Phase JP Nagar,2 BHK,1040,2,75,2,7211.538462
7th Phase JP Nagar,3 BHK,1400,2,95,3,6785.714286
7th Phase JP Nagar,3 BHK,1800,3,130,3,7222.222222
7th Phase JP Nagar,2 BHK,1050,2,68,2,6476.190476
7th Phase JP Nagar,2 BHK,1000,2,60,2,6000
7th Phase JP Nagar,3 BHK,1680,3,125,3,7440.47619
7th Phase JP Nagar,2 BHK,1050,2,77.47,2,7378.095238
7th Phase JP Nagar,2 BHK,1270,2,80,2,6299.212598
7th Phase JP Nagar,3 BHK,1680,3,122,3,7261.904762
7th Phase JP Nagar,2 BHK,1130,2,85,2,7522.123894
7th Phase JP Nagar,3 BHK,1680,3,130,3,7738.095238
7th Phase JP Nagar,2 BHK,980,2,77.44,2,7902.040816
7th Phase JP Nagar,3 BHK,1680,3,112,3,6666.666667
7th Phase JP Nagar,3 BHK,2095,3,150,3,7159.904535
7th Phase JP Nagar,3 BHK,1976,3,145,3,7338.05668
7th Phase JP Nagar,3 BHK,1600,2,110,3,6875
7th Phase JP Nagar,3 BHK,1765,3,118,3,6685.552408
7th Phase JP Nagar,3 BHK,1275,2,88,3,6901.960784
7th Phase JP Nagar,3 BHK,1450,2,102,3,7034.482759
7th Phase JP Nagar,3 BHK,1575,2,110,3,6984.126984
7th Phase JP Nagar,1 BHK,750,1,47,1,6266.666667
7th Phase JP Nagar,2 BHK,990,2,50,2,5050.505051
7th Phase JP Nagar,1 Bedroom,1000,1,60,1,6000
7th Phase JP Nagar,3 BHK,1430,2,102,3,7132.867133
7th Phase JP Nagar,2 BHK,1128,2,60,2,5319.148936
7th Phase JP Nagar,2 BHK,1140,2,57,2,5000
7th Phase JP Nagar,3 BHK,1420,3,90,3,6338.028169
7th Phase JP Nagar,2 BHK,1530,2,108,2,7058.823529
8th Phase JP Nagar,2 BHK,1073.5,2,54.005,2,5030.740568
8th Phase JP Nagar,1 BHK,451,1,29.9,1,6629.711752
8th Phase JP Nagar,2 BHK,1062,2,42.47,2,3999.05838
8th Phase JP Nagar,3 BHK,1455,3,73.31,3,5038.487973
8th Phase JP Nagar,2 BHK,871,2,55,2,6314.580941
8th Phase JP Nagar,2 BHK,1098,2,43.91,2,3999.089253
8th Phase JP Nagar,3 BHK,1800,3,80,3,4444.444444
8th Phase JP Nagar,4 Bedroom,2700,4,130,4,4814.814815
8th Phase JP Nagar,2 BHK,1080,2,38,2,3518.518519
8th Phase JP Nagar,2 BHK,1059,2,34.5,2,3257.790368
8th Phase JP Nagar,2 BHK,1080,2,35,2,3240.740741
8th Phase JP Nagar,2 BHK,1062,2,42.47,2,3999.05838
8th Phase JP Nagar,1 BHK,500,1,31,1,6200
8th Phase JP Nagar,2 BHK,1100,2,35,2,3181.818182
8th Phase JP Nagar,4 BHK,2100,4,92,4,4380.952381
8th Phase JP Nagar,2 BHK,1035,2,39.33,2,3800
8th Phase JP Nagar,2 BHK,909,2,40.9,2,4499.449945
8th Phase JP Nagar,3 BHK,1431.5,3,72.02,3,5031.086273
8th Phase JP Nagar,3 Bedroom,1900,4,90,3,4736.842105
8th Phase JP Nagar,1 BHK,500,1,30,1,6000
8th Phase JP Nagar,2 BHK,1125,2,36.94,2,3283.555556
8th Phase JP Nagar,2 BHK,1100,2,35,2,3181.818182
8th Phase JP Nagar,2 BHK,1089,2,43.55,2,3999.081726
8th Phase JP Nagar,3 BHK,1504,2,83,3,5518.617021
8th Phase JP Nagar,4 Bedroom,2600,4,115,4,4423.076923
8th Phase JP Nagar,2 BHK,1089,2,43.55,2,3999.081726
8th Phase JP Nagar,2 BHK,1513,2,62,2,4097.818903
8th Phase JP Nagar,2 BHK,1298,2,59,2,4545.454545
8th Phase JP Nagar,2 BHK,1006,2,44,2,4373.757455
8th Phase JP Nagar,1 BHK,500,1,33,1,6600
8th Phase JP Nagar,2 BHK,1160,2,95,2,8189.655172
8th Phase JP Nagar,2 BHK,1245,2,59,2,4738.955823
8th Phase JP Nagar,2 BHK,1510,2,80,2,5298.013245
8th Phase JP Nagar,3 BHK,3300,3,165,3,5000
8th Phase JP Nagar,5 Bedroom,1730,5,75,5,4335.260116
8th Phase JP Nagar,2 BHK,1046,2,48,2,4588.910134
8th Phase JP Nagar,3 BHK,1408,3,80,3,5681.818182
9th Phase JP Nagar,2 BHK,1005,2,50,2,4975.124378
9th Phase JP Nagar,2 BHK,1100,2,65,2,5909.090909
9th Phase JP Nagar,2 BHK,1080,2,37,2,3425.925926
9th Phase JP Nagar,2 BHK,1035,2,45,2,4347.826087
9th Phase JP Nagar,4 BHK,5000,4,290,4,5800
9th Phase JP Nagar,2 BHK,1164,2,56,2,4810.996564
9th Phase JP Nagar,2 BHK,1005,2,42,2,4179.104478
9th Phase JP Nagar,2 BHK,1127,2,50,2,4436.557232
9th Phase JP Nagar,2 BHK,1005,2,43,2,4278.606965
9th Phase JP Nagar,2 BHK,835,2,37,2,4431.137725
9th Phase JP Nagar,2 BHK,1050,2,39,2,3714.285714
9th Phase JP Nagar,2 BHK,660,2,27,2,4090.909091
9th Phase JP Nagar,1 BHK,600,1,20,1,3333.333333
9th Phase JP Nagar,2 BHK,1466,2,71,2,4843.110505
9th Phase JP Nagar,3 BHK,1890,2,93,3,4920.634921
9th Phase JP Nagar,2 BHK,1079,2,60,2,5560.704356
9th Phase JP Nagar,2 BHK,1480,2,80,2,5405.405405
9th Phase JP Nagar,2 Bedroom,1200,2,80,2,6666.666667
9th Phase JP Nagar,2 BHK,905,2,32,2,3535.911602
9th Phase JP Nagar,2 BHK,1073,2,52.36,2,4879.776328
9th Phase JP Nagar,3 BHK,1719.3,2,88,3,5118.362124
9th Phase JP Nagar,3 BHK,1780,3,88,3,4943.820225
9th Phase JP Nagar,3 BHK,1522,3,90,3,5913.272011
9th Phase JP Nagar,2 BHK,890,2,45,2,5056.179775
9th Phase JP Nagar,4 BHK,5000,4,300,4,6000
9th Phase JP Nagar,2 BHK,1050,2,35,2,3333.333333
9th Phase JP Nagar,2 BHK,1331.95,2,69,2,5180.374639
AECS Layout,2 BHK,1100,2,45,2,4090.909091
AECS Layout,2 BHK,1028,2,42,2,4085.603113
AECS Layout,2 BHK,1199,2,65,2,5421.18432
AECS Layout,2 BHK,1080,2,55,2,5092.592593
AECS Layout,2 BHK,1123,2,64,2,5699.020481
AECS Layout,2 BHK,1308,2,60,2,4587.155963
AECS Layout,2 BHK,1005,2,55,2,5472.636816
Abbigere,2 BHK,985,2,40.39,2,4100.507614
Abbigere,6 Bedroom,2200,6,68,6,3090.909091
Abbigere,1 BHK,765,2,30,1,3921.568627
Abbigere,2 BHK,880,2,35,2,3977.272727
Abbigere,2 BHK,795,2,32.54,2,4093.081761
Abbigere,2 BHK,1005,2,39.59,2,3939.303483
Abbigere,1 BHK,734,1,19.82,1,2700.27248
Abbigere,2 BHK,1020,2,41.82,2,4100
Abbigere,2 BHK,985,2,40.39,2,4100.507614
Abbigere,6 Bedroom,2500,6,81,6,3240
Abbigere,2 BHK,795,2,32.54,2,4093.081761
Abbigere,2 BHK,1130,2,46.33,2,4100
Abbigere,2 BHK,795,1,32.6,2,4100.628931
Abbigere,8 Bedroom,3000,8,150,8,5000
Abbigere,2 BHK,985,2,38.92,2,3951.269036
Abbigere,2 BHK,1000,2,41,2,4100
Abbigere,2 BHK,995,2,40.8,2,4100.502513
Abbigere,2 BHK,1020,2,40.8,2,4000
Akshaya Nagar,2 BHK,1388,2,57,2,4106.628242
Akshaya Nagar,2 BHK,1070,2,54,2,5046.728972
Akshaya Nagar,2 BHK,1280,2,58,2,4531.25
Akshaya Nagar,3 BHK,1662,3,85.1,3,5120.336943
Akshaya Nagar,3 BHK,1897,3,120,3,6325.777543
Akshaya Nagar,3 BHK,1410,2,75,3,5319.148936
Akshaya Nagar,3 BHK,1360,2,85,3,6250
Akshaya Nagar,3 BHK,1410,2,80,3,5673.758865
Akshaya Nagar,3 BHK,1662,3,85,3,5114.320096
Akshaya Nagar,3 BHK,1662,3,85.5,3,5144.404332
Akshaya Nagar,2 BHK,1280,2,60,2,4687.5
Akshaya Nagar,3 BHK,1666,3,95,3,5702.280912
Akshaya Nagar,3 BHK,1575,3,90,3,5714.285714
Akshaya Nagar,3 BHK,1430,2,75,3,5244.755245
Akshaya Nagar,3 BHK,1419,2,73,3,5144.467935
Akshaya Nagar,2 BHK,1280,2,60,2,4687.5
Akshaya Nagar,2 BHK,1200,2,50,2,4166.666667
Akshaya Nagar,2 BHK,1092,2,60,2,5494.505495
Akshaya Nagar,3 BHK,1690,3,85,3,5029.585799
Akshaya Nagar,3 BHK,1897,4,93,3,4902.477596
Akshaya Nagar,3 BHK,1884,3,98,3,5201.698514
Akshaya Nagar,2 BHK,1314,2,68.8,2,5235.920852
Akshaya Nagar,3 BHK,1690,3,85,3,5029.585799
Akshaya Nagar,2 BHK,1265,2,67,2,5296.442688
Akshaya Nagar,2 BHK,1126,2,55,2,4884.547069
Akshaya Nagar,3 BHK,1662,3,90,3,5415.162455
Akshaya Nagar,3 BHK,1420,2,75,3,5281.690141
Akshaya Nagar,3 BHK,1412,2,88,3,6232.294618
Akshaya Nagar,3 BHK,1434,3,84,3,5857.740586
Akshaya Nagar,3 BHK,1890,4,100,3,5291.005291
Akshaya Nagar,3 BHK,1419,2,87,3,6131.078224
Akshaya Nagar,2 BHK,1300,2,54,2,4153.846154
Akshaya Nagar,3 BHK,1690,3,85,3,5029.585799
Akshaya Nagar,2 BHK,1113,2,52,2,4672.057502
Akshaya Nagar,3 BHK,1820,4,95,3,5219.78022
Akshaya Nagar,2 BHK,1100,2,48,2,4363.636364
Akshaya Nagar,3 BHK,1896,3,102,3,5379.746835
Akshaya Nagar,2 BHK,1300,2,66,2,5076.923077
Akshaya Nagar,2 BHK,1225,2,68,2,5551.020408
Akshaya Nagar,2 BHK,1179,2,51,2,4325.699746
Akshaya Nagar,3 BHK,1421,2,73,3,5137.227305
Akshaya Nagar,3 BHK,1893,4,95,3,5018.489171
Akshaya Nagar,2 BHK,900,2,45,2,5000
Ambalipura,2 BHK,1105,2,75,2,6787.330317
Ambalipura,3 BHK,1800,3,110,3,6111.111111
Ambalipura,2 BHK,1150,2,80,2,6956.521739
Ambalipura,2 BHK,1250,2,66.25,2,5300
Ambalipura,2 BHK,1332,2,79,2,5930.930931
Ambalipura,3 BHK,1730,3,120,3,6936.416185
Ambalipura,2 BHK,1230,2,66.25,2,5386.178862
Ambalipura,2 BHK,1351,2,77,2,5699.481865
Ambalipura,2 BHK,1303,2,80,2,6139.677667
Ambalipura,3 BHK,1607,2,112,3,6969.508401
Ambalipura,1 BHK,770,1,43.82,1,5690.909091
Ambalipura,2 BHK,1700,2,76,2,4470.588235
Ambalipura,2 BHK,1060,2,58.5,2,5518.867925
Ambalipura,3 BHK,1650,3,100,3,6060.606061
Ambalipura,3 BHK,1607,2,112,3,6969.508401
Ambalipura,2 BHK,1198,2,80,2,6677.796327
Ambedkar Nagar,3 BHK,1935,4,130,3,6718.346253
Ambedkar Nagar,2 BHK,1424,2,90,2,6320.224719
Ambedkar Nagar,3 BHK,2225,4,169,3,7595.505618
Ambedkar Nagar,3 BHK,1862,3,120,3,6444.683136
Ambedkar Nagar,3 BHK,1850,4,139,3,7513.513514
Ambedkar Nagar,3 BHK,1936,4,126,3,6508.264463
Ambedkar Nagar,3 BHK,1862,3,119,3,6390.977444
Ambedkar Nagar,2 BHK,1424,2,90,2,6320.224719
Ambedkar Nagar,3 BHK,2150,4,125,3,5813.953488
Ambedkar Nagar,4 BHK,3530,4,290,4,8215.29745
Ambedkar Nagar,3 BHK,1856,3,120,3,6465.517241
Ambedkar Nagar,3 BHK,1852,3,130,3,7019.438445
Ambedkar Nagar,3 BHK,1850,4,120,3,6486.486486
Ambedkar Nagar,2 BHK,1367,2,86,2,6291.1485
Ambedkar Nagar,4 Bedroom,3565,4,255,4,7152.875175
Ambedkar Nagar,2 BHK,1409,2,95,2,6742.370476
Ambedkar Nagar,3 BHK,1950,4,120,3,6153.846154
Ambedkar Nagar,3 BHK,1921,4,129,3,6715.252473
Ambedkar Nagar,3 BHK,1920,4,121,3,6302.083333
Ambedkar Nagar,3 BHK,1935,4,125,3,6459.94832
Ambedkar Nagar,3 BHK,1852,4,122,3,6587.473002
Ambedkar Nagar,3 BHK,1950,4,120,3,6153.846154
Ambedkar Nagar,3 BHK,1852,3,125,3,6749.460043
Ambedkar Nagar,3 BHK,1850,4,121,3,6540.540541
Ambedkar Nagar,2 BHK,1425,2,94,2,6596.491228
Ambedkar Nagar,3 BHK,2395,4,150,3,6263.048017
Amruthahalli,2 BHK,900,2,40,2,4444.444444
Amruthahalli,2 BHK,1200,2,55,2,4583.333333
Amruthahalli,3 Bedroom,1900,3,135,3,7105.263158
Amruthahalli,2 BHK,924,2,45,2,4870.12987
Amruthahalli,2 BHK,900,2,60,2,6666.666667
Amruthahalli,2 BHK,1100,2,45,2,4090.909091
Amruthahalli,2 BHK,1200,2,55,2,4583.333333
Amruthahalli,3 BHK,1450,2,85,3,5862.068966
Amruthahalli,2 BHK,1200,2,55,2,4583.333333
Amruthahalli,2 BHK,1250,2,79,2,6320
Amruthahalli,2 BHK,1190,2,50,2,4201.680672
Amruthahalli,2 BHK,1202,2,65,2,5407.65391
Amruthahalli,2 BHK,1340,2,75,2,5597.014925
Amruthahalli,3 BHK,2650,4,175,3,6603.773585
Amruthahalli,3 BHK,1450,2,90,3,6206.896552
Amruthahalli,2 BHK,1025,2,42,2,4097.560976
Amruthahalli,1 BHK,485,1,19.5,1,4020.618557
Anandapura,2 BHK,1167,2,43.76,2,3749.785775
Anandapura,2 Bedroom,1000,2,55,2,5500
Anandapura,2 BHK,1141,2,42.79,2,3750.219106
Anandapura,2 Bedroom,1200,2,67,2,5583.333333
Anandapura,2 Bedroom,1200,2,58,2,4833.333333
Anandapura,2 BHK,1151,2,43.1,2,3744.569939
Anandapura,2 BHK,1141,2,42.75,2,3746.713409
Anandapura,2 Bedroom,900,2,48,2,5333.333333
Anandapura,4 Bedroom,1749,4,90,4,5145.797599
Anandapura,2 BHK,1151,2,42.9,2,3727.193745
Anandapura,2 BHK,1250,2,45,2,3600
Anandapura,2 BHK,1151,2,43.16,2,3749.782798
Anandapura,2 Bedroom,1200,2,58,2,4833.333333
Anandapura,3 Bedroom,1200,2,66,3,5500
Anandapura,3 Bedroom,1415,2,74,3,5229.681979
Anandapura,2 BHK,1200,2,50,2,4166.666667
Anandapura,2 BHK,1141,2,50,2,4382.120947
Ananth Nagar,1 BHK,500,1,14,1,2800
Ananth Nagar,2 BHK,1100,2,31.5,2,2863.636364
Ananth Nagar,2 BHK,982,2,24.55,2,2500
Ananth Nagar,1 BHK,500,2,14,1,2800
Ananth Nagar,2 BHK,900,2,22.5,2,2500
Ananth Nagar,2 BHK,908,2,26,2,2863.436123
Ananth Nagar,2 BHK,870,2,36,2,4137.931034
Ananth Nagar,2 BHK,937,2,35,2,3735.325507
Ananth Nagar,2 BHK,960,2,37,2,3854.166667
Ananth Nagar,1 BHK,500,1,14,1,2800
Ananth Nagar,2 BHK,1000,2,29.7,2,2970
Ananth Nagar,2 BHK,850,2,25.99,2,3057.647059
Ananth Nagar,2 BHK,902,2,25.26,2,2800.443459
Ananth Nagar,3 BHK,1470,3,54,3,3673.469388
Ananth Nagar,2 BHK,810,2,25.5,2,3148.148148
Ananth Nagar,2 BHK,890,2,27,2,3033.707865
Ananth Nagar,2 BHK,1200,2,36,2,3000
Ananth Nagar,3 BHK,1319,3,42,3,3184.230478
Ananth Nagar,2 BHK,1000,2,25,2,2500
Ananth Nagar,2 BHK,902,2,25,2,2771.618625
Ananth Nagar,2 BHK,930,2,25.99,2,2794.623656
Ananth Nagar,2 BHK,1074,2,26.85,2,2500
Ananth Nagar,1 BHK,500,1,14,1,2800
Ananth Nagar,2 BHK,1010,2,38,2,3762.376238
Ananth Nagar,2 BHK,992,2,24.8,2,2500
Anekal,2 BHK,656,2,22,2,3353.658537
Anekal,2 BHK,620,2,22,2,3548.387097
Anekal,1 BHK,600,1,16.5,1,2750
Anekal,2 BHK,925,2,40,2,4324.324324
Anekal,1 BHK,530,1,18,1,3396.226415
Anekal,3 Bedroom,1800,3,68,3,3777.777778
Anekal,1 RK,351,1,16,1,4558.404558
Anekal,2 BHK,1035,2,38.3,2,3700.483092
Anekal,2 BHK,888,2,34,2,3828.828829
Anekal,4 Bedroom,1200,2,36,4,3000
Anekal,2 BHK,766,2,28,2,3655.35248
Anekal,3 BHK,967,2,45,3,4653.567735
Anekal,2 BHK,620,1,23.5,2,3790.322581
Anekal,3 BHK,1150,3,45,3,3913.043478
Anekal,1 BHK,400,1,11.5,1,2875
Anekal,1 BHK,456,1,15,1,3289.473684
Anekal,3 Bedroom,2400,4,95,3,3958.333333
Anekal,1 BHK,420,1,12.5,1,2976.190476
Anekal,2 BHK,614,1,28,2,4560.260586
Anekal,2 BHK,1140,2,52,2,4561.403509
Anekal,2 BHK,625,1,25,2,4000
Anjanapura,4 BHK,1850,4,86,4,4648.648649
Anjanapura,2 BHK,1070,2,39,2,3644.859813
Anjanapura,3 Bedroom,1500,3,121,3,8066.666667
Anjanapura,2 BHK,1070,2,37,2,3457.943925
Anjanapura,2 BHK,950,2,40,2,4210.526316
Anjanapura,3 BHK,1280,2,45,3,3515.625
Anjanapura,2 BHK,710,2,25,2,3521.126761
Anjanapura,2 BHK,950,2,32,2,3368.421053
Anjanapura,4 BHK,1800,4,55,4,3055.555556
Anjanapura,3 BHK,1843,3,87.54,3,4749.864352
Anjanapura,2 BHK,1076,2,30.13,2,2800.185874
Anjanapura,2 BHK,950,2,30,2,3157.894737
Ardendale,3 BHK,1750,3,100,3,5714.285714
Ardendale,4 BHK,3198,4,200,4,6253.908693
Ardendale,4 BHK,2422,4,160,4,6606.110652
Ardendale,3 BHK,1750,3,100,3,5714.285714
Ardendale,4 Bedroom,3200,4,205,4,6406.25
Ardendale,3 BHK,1728,3,95,3,5497.685185
Ardendale,4 BHK,2062,3,140,4,6789.524733
Ardendale,3 BHK,1732.46,3,92,3,5310.367916
Ardendale,4 BHK,2062,3,150,4,7274.490786
Ardendale,2 BHK,1224,2,70,2,5718.954248
Ardendale,3 BHK,1777.26,3,105,3,5907.970696
Ardendale,3 BHK,1650,3,82,3,4969.69697
Ardendale,4 BHK,2062,3,140,4,6789.524733
Ardendale,3 BHK,1650,3,82,3,4969.69697
Ardendale,2 BHK,1224,2,67,2,5473.856209
Ardendale,3 BHK,1723,3,95,3,5513.639002
